Coupon Name,Amount of Discount,Discount Type,Expiry Date,Description,Min Total
SUMMER10,10,Percentage,2024-08-31,Get 10% off your summer purchases.,0
FLAT50,50,Flat Value,2025-09-30,Flat 50 baht discount on orders above 200 baht.,200
WELCOME15,15,Percentage,2024-12-31,New user welcome offer with 15% off.,0
SAVE20,20,Flat Value,2024-10-15,Save 20 baht on all orders over 100 baht.,100
HOLIDAY5,5,Percentage,2024-12-01,5% discount for holiday season shopping.,0
SPRING25,25,Percentage,2024-09-10,Enjoy 25% off spring collections.,0
FLASH75,75,Flat Value,2024-08-15,Flat 75 baht off during the flash sale event.,80
WEEKEND30,30,Percentage,2024-07-20,30% discount for weekend shopping.,0
MONSOON20,20,Percentage,2024-08-01,Monsoon offer: 20% off on rainwear.,0
DEAL40,40,Flat Value,2024-09-05,Grab 40 baht off on your next big purchase.,100
