ProductID,ProductName,Description,Category,Price,StockQuantity,MinimumThreshold,RestockAmount,LastUpdated
P001,Pen,Black Ballpoint Pen,Stationary,12,50,15,200,02-07-24
P002,Pencil,HB Pencil,Stationary,8,65,20,200,22-08-24
P003,Notebook,"A5 lined, 80 pages",Stationary,25,40,12,200,23-08-24
P004,Sketchbook,"A5 Drawing Sketchbook, 50 pages",Stationary,32,30,9,200,24-08-24
P005,Highlighter,Yellow non-toxic highlighter,Stationary,10,50,15,200,25-08-24
P006,Polo Shirt,"University-branded, cotton",Merch,100,100,30,200,26-08-24
P007,Hoodie,"University-branded, fleece-lined",Merch,120,56,17,200,27-08-24
P008,Cap,"University logo, adjustable size",Merch,60,40,12,200,28-08-24
P009,Thermos,"University logo, 360ml",Merch,200,30,9,200,29-08-24
P010,Fountain Pen,University Logo,Merch,400,30,9,200,30-08-24
P011,Skirt,"Pleated Black Skirt, 38""",Uniform,100,100,30,200,31-08-24
P012,Men's Trousers,"Black University Trousers, 40",Uniform,100,100,30,200,01-09-24
P013,Men's Uniform Shirt,"White University Shirt, L",Uniform,200,100,30,200,02-09-24
P014,Women's Uniform Shirt,"White University Shirt, M",Uniform,200,100,30,200,03-09-24
P015,Brown Belt,"University Leather Belt, 35""",Uniform,60,150,45,200,04-09-24
P016,Black Belt,"University Leather Belt, 40""",Uniform,60,120,36,200,05-09-24
P017,Belt Buckle,"University Belt Buckle, Male and Female",Uniform,40,85,26,200,06-09-24
P018,University Shirt Buttons,Button Shells,Uniform,25,45,14,200,07-09-24
P019,University Shirt Pin,Women's University Pin,Uniform,25,150,45,200,08-09-24
P020,Canvas Tote Bag,"University logo, eco-friendly",Merch,200,65,20,200,09-09-24
P021,Book Bag,"Durable canvas, zippered",Merch,230,75,23,200,10-09-24
P022,Back Pack,"University logo, eco-friendly",Merch,230,45,14,200,11-09-24
P023,Calculator,"Scientific calculator, solar powered",Electronics,1105.00,50,15,200,12-09-24
P024,Writing Tablet,7*4 -inch drawing tablet,Electronics,2000.00,20,6,200,13-09-24
P025,Computer Mouse,Wired Computer Mouse,Electronics,200,35,11,200,14-09-24
P026,Charging Cable,USB-C Charging Wire,Electronics,89,60,18,200,15-09-24
P027,Earphones,"3.5mm plug, 1.2m wire",Electronics,50,45,14,200,16-09-24
P028,Textbook,"Math for Engineers, 3rd Edition",Books,300,65,20,200,17-09-24
P029,Comic Book,Batman,Books,250,50,15,200,18-09-24
P030,Manga,Fairy Tail: 100 Years Quest,Books,250,20,6,200,19-09-24
